Id,ActivityHour,TotalIntensity,AverageIntensity
1503960366,4/12/2016 12:00:00 AM,20,0.333333
1503960366,4/12/2016 1:00:00 AM,8,0.133333
1503960366,4/12/2016 2:00:00 AM,7,0.116667
1503960366,4/12/2016 3:00:00 AM,0,0.0
1503960366,4/12/2016 4:00:00 AM,0,0.0
1503960366,4/12/2016 5:00:00 AM,0,0.0
1503960366,4/12/2016 6:00:00 AM,0,0.0
1503960366,4/12/2016 7:00:00 AM,0,0.0
1503960366,4/12/2016 8:00:00 AM,13,0.216667
1503960366,4/12/2016 9:00:00 AM,30,0.5
1503960366,4/12/2016 10:00:00 AM,29,0.483333
1503960366,4/12/2016 11:00:00 AM,12,0.2
1503960366,4/12/2016 12:00:00 PM,11,0.183333
1503960366,4/12/2016 1:00:00 PM,6,0.1
1503960366,4/12/2016 2:00:00 PM,36,0.6
1503960366,4/12/2016 3:00:00 PM,58,0.966667
1503960366,4/12/2016 4:00:00 PM,13,0.216667
1503960366,4/12/2016 5:00:00 PM,16,0.266667
1503960366,4/12/2016 6:00:00 PM,29,0.483333
1503960366,4/12/2016 7:00:00 PM,39,0.65
1503960366,4/12/2016 8:00:00 PM,41,0.683333
1503960366,4/12/2016 9:00:00 PM,31,0.516667
1503960366,4/12/2016 10:00:00 PM,9,0.15
1503960366,4/12/2016 11:00:00 PM,21,0.35
1503960366,4/13/2016 12:00:00 AM,14,0.233333
1503960366,4/13/2016 1:00:00 AM,0,0.0
1503960366,4/13/2016 2:00:00 AM,0,0.0
1503960366,4/13/2016 3:00:00 AM,4,0.066667
1503960366,4/13/2016 4:00:00 AM,0,0.0
1503960366,4/13/2016 5:00:00 AM,0,0.0
1503960366,4/13/2016 6:00:00 AM,0,0.0
1503960366,4/13/2016 7:00:00 AM,8,0.133333
1503960366,4/13/2016 8:00:00 AM,12,0.2
1503960366,4/13/2016 9:00:00 AM,27,0.45
1503960366,4/13/2016 10:00:00 AM,15,0.25
1503960366,4/13/2016 11:00:00 AM,16,0.266667
1503960366,4/13/2016 12:00:00 PM,15,0.25
1503960366,4/13/2016 1:00:00 PM,10,0.166667
1503960366,4/13/2016 2:00:00 PM,46,0.766667
1503960366,4/13/2016 3:00:00 PM,13,0.216667
1503960366,4/13/2016 4:00:00 PM,10,0.166667
1503960366,4/13/2016 5:00:00 PM,23,0.383333
1503960366,4/13/2016 6:00:00 PM,25,0.416667
1503960366,4/13/2016 7:00:00 PM,13,0.216667
1503960366,4/13/2016 8:00:00 PM,0,0.0
1503960366,4/13/2016 9:00:00 PM,0,0.0
1503960366,4/13/2016 10:00:00 PM,11,0.183333
1503960366,4/13/2016 11:00:00 PM,56,0.933333
1503960366,4/14/2016 12:00:00 AM,4,0.066667
1503960366,4/14/2016 1:00:00 AM,3,0.05
